utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
12011689.700296, 8606.983994, 1115.668918, 798.064333, 2323.414538, 0.000000, 0.087674, 0.042830, 0.060060, 0.209566, 0.163274, 0.849647, 2.811934, 2.551894, 40.793550, 41.477634
12346714.262279, 7683.918097, 883.924934, 728.810170, 2076.676459, 0.021992, 0.413408, 0.120178, 0.650875, 0.278988, 0.270209, 4.900918, 10.516735, 10.542490, 47.783803, 42.014657
11933069.959166, 8784.017936, 941.751363, 817.620994, 2404.843579, 0.000000, 0.165719, 0.029450, 0.002709, 0.301310, 0.266006, 1.876332, 4.605366, 5.690371, 41.861322, 41.214399
11932174.636517, 8690.904247, 886.121596, 793.167146, 2358.221476, 0.000000, 0.592472, 0.020213, 0.035883, 0.287767, 0.205598, 2.433109, 5.660543, 6.847370, 44.137115, 41.398628
11668521.340080, 8844.210047, 776.921268, 834.982810, 2256.682899, 0.000000, 0.097398, 0.007795, 0.011912, 0.207671, 0.154506, 1.049025, 3.758692, 4.125184, 41.121977, 42.910931
12094141.884913, 8401.753680, 919.443187, 773.846751, 2303.823153, 0.000000, 0.252433, 0.051288, 0.086082, 0.258523, 0.183736, 2.660800, 6.592916, 6.974391, 44.047880, 43.767239
11470237.753526, 8550.564254, 929.566670, 688.259896, 2353.803533, 0.000000, 0.340343, 0.047518, 0.154804, 0.361245, 0.262721, 7.588162, 15.810092, 16.603317, 51.719124, 44.791213
12343579.705401, 8815.794621, 1015.670300, 818.600111, 2202.496014, 0.000000, 0.641148, 0.013697, 0.113043, 0.280508, 0.220015, 5.389172, 13.082936, 13.800756, 48.828300, 46.058512
12633440.905568, 7944.002620, 878.321431, 647.783876, 2262.813582, 0.031060, 0.487508, 0.080080, 0.216873, 0.330441, 0.184944, 3.917036, 8.124295, 10.330460, 46.782513, 43.309605
12302247.092214, 9009.715003, 1190.643974, 765.188639, 2271.500356, 0.000000, 0.076257, 0.065446, 0.066859, 0.285078, 0.237335, 2.921917, 6.612822, 6.975834, 44.299164, 43.576507
